Country,Cholesterol,BMI25,BMI30,MalignantTumor,DiabetesMellitus,CardiovascularDiseases,BloodPressure
Saint Kitts and Nevis,10.6 [4.3-20.4],51.9 [46.5-57.5],22.4 [17.2-28.2],,,,26.2 [19.5-33.4]
Saint Lucia,8.9 [3.7-17.8],47.5 [41.9-53.3],19.2 [14.5-24.1],253.0,115.0,436.0,27.6 [20.6-35.5]
Saint Vincent and the Grenadines,8.4 [3.6-16.3],54.1 [48.7-59.4],23.0 [17.9-28.8],159.0,82.0,293.0,23.0 [16.7-30.1]
Samoa,7.8 [3.6-14.4],74.7 [70.5-78.7],44.8 [39.3-50.7],142.0,80.0,316.0,22.0 [16.2-28.5]
San Marino,...,No data,No data,,,,No data
Sao Tome and Principe,3.1 [1.9-4.8],30.9 [26.5-35.3],10.2 [7.4-13.5],108.0,13.0,205.0,19.6 [14.4-25.8]
Saudi Arabia,8.7 [5.1-13.4],68.2 [64.5-71.8],34.1 [29.8-38.3],10426.0,3594.0,40788.0,19.1 [14.2-24.7]
Senegal,3.9 [1.7-8.0],24.3 [20.8-28.1],7.1 [5.0-9.4],5714.0,2116.0,15891.0,23.0 [16.9-29.9]
Serbia,13.5 [5.7-26.8],60.0 [55.6-64.2],23.0 [18.9-27.3],23563.0,3318.0,58582.0,35.0 [28.5-41.6]
Seychelles,17.8 [10.4-27.0],37.4 [32.5-42.4],14.1 [10.7-17.9],139.0,20.0,261.0,23.5 [17.4-30.4]
Sierra Leone,2.7 [1.2-5.8],24.4 [20.8-28.2],7.2 [5.1-9.6],2425.0,1339.0,12009.0,23.3 [17.3-29.6]
Singapore,17.4 [11.0-25.2],33.2 [29.2-37.3],6.5 [4.6-8.7],8301.0,358.0,8258.0,16.7 [12.4-21.6]
Slovakia,15.7 [7.1-28.2],59.1 [54.5-63.5],21.9 [17.5-26.5],14264.0,931.0,21539.0,33.0 [26.4-39.8]
Slovenia,18.1 [8.5-31.1],60.1 [55.0-64.9],22.0 [16.9-27.5],6380.0,337.0,7936.0,38.2 [30.5-46.3]
Solomon Islands,6.7 [3.7-11.4],50.5 [45.0-56.2],19.8 [15.4-24.8],363.0,199.0,792.0,17.1 [11.7-23.3]
Somalia,4.7 [2.0-9.7],24.3 [20.1-28.6],6.6 [4.4-9.4],5869.0,1814.0,15498.0,25.8 [19.0-33.5]
South Africa,8.0 [3.7-15.6],51.1 [47.3-54.9],26.4 [23.0-29.9],50382.0,36160.0,95254.0,24.0 [19.1-29.4]
Spain,16.4 [10.7-23.4],66.6 [62.9-70.3],26.6 [22.9-30.3],109675.0,10411.0,121668.0,25.2 [19.5-31.4]
Sri Lanka,8.1 [3.5-16.0],23.4 [19.6-27.3],5.1 [3.5-7.3],19859.0,12153.0,47256.0,23.8 [17.6-31.0]
Sudan,7.1 [3.0-13.7],No data,No data,17059.0,5511.0,77368.0,No data
Suriname,8.1 [3.6-15.7],58.3 [53.5-63.2],25.9 [20.9-31.2],614.0,246.0,1293.0,21.7 [15.6-28.9]
Sweden,14.8 [9.1-22.2],59.5 [55.6-63.3],21.6 [18.1-25.3],23171.0,2105.0,31995.0,25.9 [20.4-31.6]
Switzerland,18.8 [11.5-27.5],57.4 [53.3-61.2],20.8 [17.1-24.7],18097.0,1376.0,21570.0,23.5 [18.1-29.4]
Syrian Arab Republic,9.8 [4.5-17.7],57.1 [52.4-61.8],25.0 [20.2-30.3],14023.0,1286.0,37289.0,20.3 [15.2-26.1]
Tajikistan,4.6 [1.8-9.7],40.7 [35.8-46.0],12.0 [8.8-15.9],4439.0,775.0,18507.0,20.7 [14.4-27.8]
Thailand,15.7 [11.5-20.7],33.6 [29.3-38.0],10.1 [7.6-13.1],92385.0,23035.0,121477.0,25.0 [19.0-31.6]
The former Yugoslav republic of Macedonia,11.0 [4.7-20.8],60.3 [55.4-65.0],23.4 [18.1-28.9],3952.0,906.0,11978.0,32.4 [25.2-40.3]
Timor-Leste,5.3 [2.1-10.9],17.4 [14.3-20.8],2.8 [1.8-4.1],802.0,99.0,1262.0,21.2 [16.0-26.9]
Togo,2.9 [1.2-6.2],24.3 [20.7-28.3],6.8 [4.7-9.2],3208.0,936.0,10063.0,21.9 [16.4-28.1]
Tonga,13.4 [7.5-21.9],75.2 [70.9-79.2],45.3 [39.2-51.0],120.0,81.0,153.0,21.5 [15.8-28.0]
Trinidad and Tobago,9.6 [3.7-19.7],47.1 [40.9-53.3],18.9 [13.9-24.6],1837.0,1818.0,3857.0,27.6 [20.1-36.0]
Tunisia,10.1 [4.6-18.7],61.2 [57.0-65.4],26.4 [21.8-31.0],8084.0,3433.0,31526.0,22.8 [17.4-28.6]
Turkey,9.0 [6.1-12.7],66.1 [62.8-69.5],31.4 [27.8-35.1],100426.0,20848.0,151897.0,19.9 [15.5-24.4]
Turkmenistan,7.9 [3.2-16.2],48.6 [43.6-53.6],16.8 [12.8-21.4],4465.0,685.0,18490.0,21.6 [16.0-28.0]
Tuvalu,...,80.4 [76.7-83.9],50.2 [43.7-56.3],,,,22.8 [16.8-30.1]
Uganda,4.2 [1.6-8.9],18.5 [15.4-21.9],3.9 [2.7-5.5],24709.0,4365.0,28578.0,19.5 [14.5-25.3]
Ukraine,11.9 [4.6-23.4],61.3 [56.0-66.6],25.6 [19.8-31.7],95200.0,2612.0,406610.0,32.4 [25.3-40.2]
United Arab Emirates,18.2 [9.1-31.8],64.2 [59.3-69.3],28.6 [22.9-34.5],1670.0,662.0,5647.0,13.0 [8.4-18.8]
United Kingdom of Great Britain and Northern Ireland,21.7 [13.1-32.5],66.6 [63.9-69.2],28.9 [26.2-31.6],167382.0,6720.0,159844.0,20.3 [16.7-23.9]
United Republic of Tanzania,4.5 [1.9-8.9],23.8 [20.5-27.4],6.8 [5.1-8.9],26291.0,6166.0,49601.0,20.9 [16.1-26.6]
United States of America,14.2 [10.6-18.4],69.6 [66.5-72.6],36.7 [33.0-40.4],613063.0,81998.0,820959.0,16.4 [12.7-20.8]
Uruguay,10.2 [5.9-16.2],64.0 [59.4-68.4],28.4 [23.3-33.6],8565.0,947.0,9717.0,24.4 [18.5-30.6]
Uzbekistan,5.4 [2.5-10.6],44.7 [39.8-49.8],14.7 [11.0-18.9],13454.0,5439.0,96719.0,21.6 [16.0-28.0]
Vanuatu,8.7 [3.8-16.7],53.3 [47.4-59.0],22.8 [17.7-28.2],195.0,76.0,428.0,20.0 [14.0-26.7]
Venezuela (Bolivarian Republic of),9.4 [4.2-17.0],62.1 [58.0-66.1],24.7 [20.6-29.1],27794.0,14102.0,52593.0,17.4 [12.7-22.7]
Viet Nam,8.2 [3.7-15.6],17.5 [14.3-20.7],1.9 [1.3-2.8],99589.0,19960.0,168709.0,22.2 [16.9-28.1]
Yemen,6.9 [2.9-13.2],41.3 [36.8-46.1],13.5 [10.4-16.9],10059.0,3664.0,54837.0,22.5 [16.4-29.5]
