"","","","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)"
"Country","Year","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Democratic Republic of the Congo"," 2008"," 25+ years","2.8 [0.9-6.8]","2.2 [0.5-6.6]","3.4 [0.7-9.7]","2.6 [0.9-5.9]","2.1 [0.5-6.2]","3.0 [0.7-8.4]"
"Denmark"," 2008"," 25+ years","25.5 [14.9-38.1]","26.0 [11.3-45.7]","24.6 [10.5-42.1]","29.8 [17.5-44.0]","28.5 [12.4-49.8]","31.1 [13.6-51.1]"
"Djibouti"," 2008"," 25+ years","8.4 [3.5-16.4]","7.9 [2.3-19.2]","8.8 [2.4-20.8]","7.6 [3.3-14.5]","7.5 [2.2-17.9]","7.7 [2.2-17.8]"
"Dominica"," 2008"," 25+ years","9.3 [5.2-15.0]","6.0 [2.9-10.8]","12.2 [5.5-22.5]","9.3 [5.2-15.0]","6.0 [2.9-10.8]","12.4 [5.5-22.9]"
"Dominican Republic"," 2008"," 25+ years","7.1 [3.1-13.7]","5.2 [1.8-12.0]","8.9 [2.5-20.9]","6.7 [2.9-12.8]","5.0 [1.8-11.5]","8.3 [2.4-19.2]"
"Ecuador"," 2008"," 25+ years","9.6 [4.1-18.7]","8.4 [2.4-20.4]","10.8 [2.9-25.5]","9.3 [4.0-17.9]","8.2 [2.4-19.8]","10.4 [2.9-24.4]"
"Egypt"," 2008"," 25+ years","9.2 [5.8-13.6]","6.5 [3.6-10.6]","11.7 [6.2-19.4]","8.7 [5.5-12.7]","6.3 [3.6-10.2]","11.0 [5.8-18.1]"
"El Salvador"," 2008"," 25+ years","7.8 [3.3-15.0]","6.1 [1.9-13.7]","9.2 [2.8-21.5]","7.3 [3.2-13.7]","5.8 [1.9-12.9]","8.6 [2.7-19.7]"
"Equatorial Guinea"," 2008"," 25+ years","10.5 [3.8-22.0]","9.4 [2.1-25.9]","11.4 [2.6-29.4]","9.8 [3.6-20.1]","8.9 [2.1-24.2]","10.5 [2.5-27.1]"
"Eritrea"," 2008"," 25+ years","3.9 [1.6-8.2]","3.5 [1.0-8.6]","4.2 [1.1-11.0]","3.4 [1.5-6.7]","3.2 [1.0-7.5]","3.6 [1.1-8.9]"
"Estonia"," 2008"," 25+ years","18.5 [8.2-33.0]","17.0 [5.4-36.0]","19.3 [5.5-40.7]","20.5 [8.8-37.1]","17.6 [5.5-37.3]","22.9 [6.2-48.6]"
"Eswatini"," 2008"," 25+ years","6.8 [2.5-14.6]","5.6 [1.4-14.7]","7.6 [1.8-20.1]","6.1 [2.4-12.9]","5.2 [1.4-13.1]","6.9 [1.7-17.5]"
"Ethiopia"," 2008"," 25+ years","3.9 [1.6-7.8]","3.5 [1.0-8.7]","4.2 [1.2-10.3]","3.6 [1.6-7.0]","3.3 [1.0-8.1]","3.8 [1.1-9.0]"
"Fiji"," 2008"," 25+ years","15.4 [8.2-25.5]","16.3 [7.1-30.5]","14.3 [5.1-29.9]","14.9 [8.0-24.5]","16.0 [7.0-29.9]","13.8 [5.0-28.8]"
"Finland"," 2008"," 25+ years","19.7 [14.3-25.9]","16.4 [10.2-24.7]","21.7 [13.4-31.2]","24.0 [17.5-31.2]","17.4 [10.8-26.5]","30.1 [19.1-41.6]"
"France"," 2008"," 25+ years","20.6 [14.5-28.0]","20.2 [12.7-30.2]","20.7 [11.7-31.9]","23.2 [16.0-31.6]","21.4 [13.3-31.8]","24.8 [13.5-38.8]"
"Gabon"," 2008"," 25+ years","11.0 [4.3-22.2]","9.5 [2.3-25.1]","12.4 [3.1-30.0]","10.2 [4.0-20.2]","9.1 [2.3-23.5]","11.3 [2.9-27.0]"
"Gambia"," 2008"," 25+ years","3.6 [1.6-7.4]","2.8 [0.9-6.5]","4.3 [1.3-11.3]","3.4 [1.6-6.9]","2.8 [0.9-6.3]","4.1 [1.3-10.5]"
"Georgia"," 2008"," 25+ years","8.7 [3.5-16.9]","7.5 [2.2-18.1]","9.5 [2.7-23.1]","9.3 [3.7-18.6]","7.7 [2.3-18.7]","10.7 [2.8-26.8]"
"Germany"," 2008"," 25+ years","24.6 [13.7-37.4]","27.1 [11.5-47.1]","21.9 [8.5-39.9]","28.3 [15.7-42.8]","29.6 [12.6-51.0]","27.1 [10.4-48.6]"
"Ghana"," 2008"," 25+ years","3.1 [1.4-6.1]","2.4 [0.7-6.4]","3.8 [1.3-8.3]","3.0 [1.3-5.7]","2.3 [0.6-6.1]","3.6 [1.3-7.7]"
"Greece"," 2008"," 25+ years","12.8 [7.0-20.9]","12.7 [5.7-23.3]","12.8 [4.7-25.7]","14.3 [7.7-23.6]","13.4 [6.0-24.5]","15.2 [5.4-30.9]"
"Grenada"," 2008"," 25+ years","7.7 [3.2-15.5]","5.9 [1.7-14.5]","9.1 [2.7-21.5]","7.5 [3.2-14.8]","5.7 [1.7-13.8]","9.1 [2.6-21.3]"
"Guatemala"," 2008"," 25+ years","5.6 [2.7-10.5]","3.9 [1.6-8.0]","7.0 [2.3-15.8]","5.1 [2.6-9.4]","3.7 [1.6-7.4]","6.4 [2.3-14.0]"
"Guinea"," 2008"," 25+ years","3.3 [1.4-7.0]","2.5 [0.8-6.3]","4.0 [1.1-10.5]","3.1 [1.3-6.3]","2.4 [0.8-6.0]","3.7 [1.1-9.4]"
"Guinea-Bissau"," 2008"," 25+ years","2.9 [1.2-6.1]","2.3 [0.7-5.7]","3.5 [1.0-9.1]","2.7 [1.2-5.6]","2.3 [0.7-5.5]","3.2 [1.0-7.9]"
"Guyana"," 2008"," 25+ years","4.4 [1.8-9.2]","3.3 [0.9-8.5]","5.6 [1.5-14.9]","4.4 [1.8-9.1]","3.4 [0.9-8.7]","5.5 [1.5-14.6]"
"Haiti"," 2008"," 25+ years","4.3 [1.7-9.0]","3.1 [0.9-7.7]","5.2 [1.4-13.6]","4.0 [1.7-8.2]","3.0 [0.9-7.4]","4.8 [1.4-12.3]"
"Honduras"," 2008"," 25+ years","6.3 [2.7-12.9]","4.8 [1.4-11.2]","7.7 [2.1-19.1]","5.8 [2.5-11.6]","4.5 [1.4-10.5]","6.9 [2.0-16.8]"
"Hungary"," 2008"," 25+ years","17.9 [8.0-31.8]","16.5 [5.3-36.0]","18.5 [5.5-39.8]","19.7 [8.7-35.1]","16.9 [5.4-37.0]","22.0 [6.2-47.2]"
