"","","","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)"
"Country","Year","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Equatorial Guinea"," 2008"," 25+ years","40.9 [21.8-61.3]","39.8 [14.7-69.9]","41.8 [15.2-71.2]","39.5 [21.1-59.5]","38.9 [14.7-68.2]","40.1 [14.6-68.9]"
"Eritrea"," 2008"," 25+ years","21.4 [10.5-36.2]","21.0 [7.9-41.1]","21.5 [6.9-44.2]","19.8 [10.2-32.7]","20.0 [7.7-38.4]","19.6 [6.7-39.6]"
"Estonia"," 2008"," 25+ years","56.7 [37.5-73.4]","56.0 [30.3-78.1]","56.7 [28.5-79.9]","59.2 [39.1-76.0]","56.8 [30.5-79.1]","61.1 [30.7-83.8]"
"Eswatini"," 2008"," 25+ years","31.2 [15.5-50.3]","29.2 [10.4-55.0]","32.7 [11.0-60.5]","29.5 [14.9-47.6]","27.9 [10.3-52.4]","30.8 [10.6-57.2]"
"Ethiopia"," 2008"," 25+ years","21.3 [10.8-35.5]","21.0 [7.9-41.2]","21.5 [7.4-42.7]","20.4 [10.6-33.8]","20.6 [7.9-40.0]","20.3 [7.2-40.2]"
"Fiji"," 2008"," 25+ years","53.2 [38.0-67.8]","56.4 [36.7-74.8]","49.7 [27.0-72.1]","52.5 [37.4-66.9]","56.1 [36.6-74.4]","48.9 [26.8-71.2]"
"Finland"," 2008"," 25+ years","59.0 [50.4-67.1]","57.5 [45.8-69.0]","59.3 [46.4-70.4]","63.5 [55.0-71.4]","59.2 [47.2-70.9]","67.4 [54.9-77.6]"
"France"," 2008"," 25+ years","62.0 [53.1-70.1]","63.5 [51.7-74.4]","60.2 [46.5-72.2]","65.2 [55.8-73.4]","64.9 [52.9-75.8]","65.5 [50.6-77.5]"
"Gabon"," 2008"," 25+ years","42.5 [23.8-62.3]","40.5 [16.0-69.1]","44.2 [17.6-71.5]","40.8 [23.1-60.0]","39.6 [15.8-67.9]","42.0 [17.0-68.9]"
"Gambia"," 2008"," 25+ years","20.3 [10.5-34.1]","18.1 [7.4-34.5]","22.5 [7.8-46.3]","19.9 [10.5-33.1]","17.9 [7.4-34.0]","21.9 [7.8-44.3]"
"Georgia"," 2008"," 25+ years","37.1 [20.6-54.8]","35.6 [15.3-60.9]","38.0 [15.4-63.8]","38.5 [21.1-56.7]","36.0 [15.3-61.7]","40.4 [16.0-67.7]"
"Germany"," 2008"," 25+ years","65.6 [50.4-77.7]","69.6 [48.8-84.9]","61.4 [39.1-79.4]","69.7 [54.4-81.5]","72.2 [51.3-86.9]","67.4 [43.8-84.4]"
"Ghana"," 2008"," 25+ years","18.1 [9.1-30.4]","15.6 [5.2-34.1]","20.6 [8.0-38.4]","17.6 [9.0-29.4]","15.3 [5.3-33.2]","19.8 [8.0-36.5]"
"Greece"," 2008"," 25+ years","48.2 [34.4-61.6]","50.1 [32.1-67.3]","45.9 [25.2-65.7]","51.0 [36.5-64.8]","51.3 [32.9-68.9]","50.7 [28.1-71.1]"
"Grenada"," 2008"," 25+ years","34.3 [19.1-52.0]","30.4 [12.5-54.5]","37.4 [15.5-62.4]","33.6 [18.9-50.9]","29.9 [12.3-53.4]","37.1 [15.3-61.9]"
"Guatemala"," 2008"," 25+ years","27.7 [16.6-40.7]","23.3 [11.6-39.0]","31.6 [14.0-52.7]","26.4 [16.2-38.2]","22.7 [11.6-37.3]","29.6 [13.6-49.0]"
"Guinea"," 2008"," 25+ years","18.7 [9.2-32.3]","16.4 [6.2-34.0]","20.6 [7.0-42.7]","17.9 [9.0-30.7]","16.2 [6.3-33.1]","19.7 [6.9-40.3]"
"Guinea-Bissau"," 2008"," 25+ years","17.0 [8.4-29.9]","15.4 [5.6-31.5]","18.4 [6.2-39.2]","16.4 [8.3-28.3]","15.2 [5.7-31.0]","17.5 [6.1-36.4]"
"Guyana"," 2008"," 25+ years","23.3 [11.6-38.6]","20.3 [7.2-40.5]","26.7 [9.2-52.2]","23.3 [11.6-38.7]","20.6 [7.3-41.3]","26.5 [9.1-51.7]"
"Haiti"," 2008"," 25+ years","22.6 [11.3-37.2]","19.4 [7.2-38.6]","25.4 [8.6-50.2]","21.7 [11.2-35.6]","19.1 [7.2-37.7]","24.1 [8.5-47.6]"
"Honduras"," 2008"," 25+ years","30.1 [16.6-46.6]","26.5 [10.6-47.9]","33.3 [12.4-59.3]","28.6 [15.9-44.4]","25.8 [10.6-46.8]","31.2 [12.0-56.4]"
"Hungary"," 2008"," 25+ years","55.2 [36.6-72.3]","55.4 [30.0-78.7]","54.0 [27.4-77.7]","57.4 [38.3-74.6]","55.8 [30.2-79.2]","58.8 [30.2-81.9]"
"Iceland"," 2008"," 25+ years","69.8 [54.9-81.5]","72.5 [52.7-87.3]","67.0 [45.0-83.5]","71.8 [56.8-83.2]","73.6 [53.7-88.1]","70.0 [47.6-85.7]"
"India"," 2008"," 25+ years","27.9 [20.8-35.8]","26.3 [17.6-36.2]","29.5 [18.2-41.9]","27.1 [20.2-34.6]","25.8 [17.4-35.5]","28.3 [17.5-40.2]"
"Indonesia"," 2008"," 25+ years","35.8 [21.6-51.0]","33.1 [16.6-52.8]","38.2 [16.8-62.0]","35.1 [21.3-49.8]","32.8 [16.6-52.1]","37.2 [16.6-60.3]"
"Iran (Islamic Republic of)"," 2008"," 25+ years","54.1 [45.9-61.9]","49.8 [39.8-60.0]","58.1 [45.3-69.8]","51.7 [43.9-59.4]","48.8 [39.0-58.7]","54.7 [42.5-66.3]"
"Iraq"," 2008"," 25+ years","44.0 [33.0-55.3]","43.7 [30.2-57.8]","44.1 [26.9-60.9]","41.8 [31.6-52.5]","42.3 [29.3-56.1]","41.3 [25.8-57.0]"
"Ireland"," 2008"," 25+ years","62.6 [46.2-76.5]","65.5 [43.0-83.4]","59.5 [35.0-79.1]","63.0 [46.6-76.9]","65.6 [43.1-83.5]","60.6 [35.6-79.9]"
"Israel"," 2008"," 25+ years","53.5 [38.5-67.5]","51.8 [32.2-70.5]","54.8 [31.6-75.2]","53.6 [38.5-67.5]","51.5 [32.0-70.2]","55.5 [32.2-75.9]"
"Italy"," 2008"," 25+ years","62.2 [53.8-70.0]","62.3 [50.8-72.9]","61.6 [49.1-72.9]","65.2 [56.5-73.1]","63.5 [51.9-74.2]","66.8 [53.7-77.9]"
"Jamaica"," 2008"," 25+ years","30.7 [22.5-39.8]","27.1 [18.0-37.7]","34.0 [21.0-48.7]","30.4 [22.3-39.4]","27.0 [17.9-37.5]","33.5 [20.7-48.2]"
"Japan"," 2008"," 25+ years","57.1 [49.9-63.7]","58.2 [50.0-66.2]","55.7 [45.0-65.4]","57.8 [50.0-64.8]","57.0 [48.5-65.2]","58.5 [46.7-69.1]"
"Jordan"," 2008"," 25+ years","48.8 [39.0-58.5]","47.8 [35.4-59.9]","49.6 [34.4-64.2]","46.4 [37.2-55.6]","46.3 [34.5-58.1]","46.4 [32.5-60.1]"
"Kazakhstan"," 2008"," 25+ years","45.7 [27.6-63.5]","45.0 [22.0-69.2]","45.6 [20.5-72.2]","45.5 [27.5-63.3]","44.7 [22.0-68.7]","46.2 [20.7-72.8]"
"Kenya"," 2008"," 25+ years","26.9 [14.1-42.8]","26.3 [10.6-48.2]","27.2 [9.8-52.0]","25.1 [13.3-39.5]","25.3 [10.5-45.7]","24.9 [9.6-47.2]"
"Kiribati"," 2008"," 25+ years","35.5 [23.4-49.0]","32.6 [19.0-49.0]","38.2 [19.5-59.6]","34.8 [23.2-47.8]","32.8 [19.4-49.1]","36.6 [19.0-57.1]"
"Kuwait"," 2008"," 25+ years","56.2 [45.4-66.3]","56.2 [42.3-69.0]","55.7 [38.5-70.5]","54.0 [43.7-63.7]","55.8 [42.4-68.3]","50.7 [35.2-65.0]"
"Kyrgyzstan"," 2008"," 25+ years","30.1 [15.7-47.5]","28.3 [11.3-52.4]","31.2 [10.6-57.6]","29.2 [15.4-46.1]","27.9 [11.3-51.4]","30.4 [10.4-56.0]"
"Lao People's Democratic Republic"," 2008"," 25+ years","31.4 [17.5-48.3]","28.8 [12.2-50.9]","33.6 [12.6-58.8]","29.8 [16.7-45.8]","28.1 [12.0-49.6]","31.4 [12.3-55.1]"
"Latvia"," 2008"," 25+ years","55.7 [36.5-73.7]","55.3 [29.0-78.9]","55.2 [26.3-79.7]","58.1 [37.7-76.5]","56.0 [29.4-79.7]","59.8 [28.9-83.6]"
"Lebanon"," 2008"," 25+ years","44.2 [27.8-61.0]","41.0 [20.0-65.9]","47.0 [23.1-71.1]","43.6 [27.5-60.4]","40.7 [20.0-65.4]","46.3 [22.8-70.4]"
"Lesotho"," 2008"," 25+ years","23.0 [10.3-41.3]","21.1 [7.0-43.6]","24.1 [7.2-51.3]","22.1 [10.1-39.1]","20.2 [6.8-41.3]","23.4 [7.1-49.8]"
"Liberia"," 2008"," 25+ years","16.1 [7.6-28.0]","14.1 [4.8-30.2]","17.8 [5.8-37.6]","15.2 [7.5-26.0]","13.9 [4.9-29.4]","16.6 [5.6-34.6]"
"Libya"," 2008"," 25+ years","35.6 [27.8-43.9]","34.8 [25.3-45.0]","36.6 [24.1-50.0]","33.4 [26.2-41.1]","33.3 [24.2-43.2]","33.6 [22.4-45.9]"
"Lithuania"," 2008"," 25+ years","54.8 [34.2-73.1]","54.9 [28.2-78.2]","54.0 [23.8-79.0]","56.5 [34.8-75.3]","55.4 [28.4-78.8]","57.4 [24.8-82.6]"
"Luxembourg"," 2008"," 25+ years","66.9 [51.8-79.6]","69.5 [48.3-85.4]","64.1 [41.2-82.0]","69.0 [53.4-81.4]","70.7 [49.4-86.4]","67.3 [43.5-84.6]"
"Madagascar"," 2008"," 25+ years","24.4 [12.8-39.1]","23.8 [9.1-44.9]","24.8 [9.0-48.3]","23.3 [12.5-37.1]","23.3 [9.1-43.8]","23.3 [8.7-45.1]"
"Malawi"," 2008"," 25+ years","24.1 [17.4-32.0]","23.1 [15.3-32.5]","24.9 [15.0-37.5]","23.5 [17.3-30.8]","22.8 [15.4-31.7]","24.1 [15.0-35.9]"
"Malaysia"," 2008"," 25+ years","52.1 [34.9-68.3]","50.0 [26.2-73.1]","54.0 [28.3-76.2]","50.9 [34.1-67.0]","49.6 [26.3-72.6]","52.2 [27.4-74.6]"
"Maldives"," 2008"," 25+ years","41.7 [24.4-59.6]","37.4 [15.3-63.2]","46.2 [21.0-72.2]","39.4 [23.2-56.9]","36.2 [15.1-61.3]","42.8 [19.3-68.4]"
"Mali"," 2008"," 25+ years","19.4 [9.2-33.7]","18.0 [6.7-36.0]","20.3 [6.5-43.3]","18.3 [9.1-31.4]","17.4 [6.6-34.3]","19.2 [6.5-40.6]"
"Malta"," 2008"," 25+ years","59.0 [42.4-73.6]","60.7 [37.5-80.2]","56.9 [32.2-77.1]","61.2 [44.0-75.8]","61.5 [38.2-81.0]","60.9 [34.7-80.7]"
"Marshall Islands"," 2008"," 25+ years","46.1 [31.6-60.5]","43.1 [24.8-62.8]","49.0 [26.8-70.0]","44.4 [30.6-58.6]","42.8 [24.8-62.2]","45.9 [25.2-66.6]"
"Mauritania"," 2008"," 25+ years","22.2 [14.0-32.4]","21.3 [11.5-34.3]","22.9 [11.0-39.3]","21.8 [14.0-31.4]","21.2 [11.6-33.8]","22.5 [11.2-37.8]"
"Mauritius"," 2008"," 25+ years","47.1 [29.3-65.7]","47.8 [23.0-73.4]","46.0 [21.1-71.1]","47.0 [29.2-65.6]","47.9 [23.1-73.3]","46.1 [21.1-71.2]"
"Mexico"," 2008"," 25+ years","50.7 [39.9-61.5]","47.4 [33.5-61.6]","53.6 [36.8-69.1]","49.5 [39.0-60.2]","47.1 [33.3-61.2]","51.6 [35.5-67.1]"
"Micronesia (Federated States of)"," 2008"," 25+ years","48.1 [33.3-62.4]","48.5 [29.7-67.5]","47.5 [26.1-68.1]","46.2 [31.9-60.3]","47.1 [28.7-65.7]","45.4 [25.0-65.8]"
"Monaco"," 2008"," 25+ years","...","...","...","...","...","..."
"Mongolia"," 2008"," 25+ years","37.3 [25.6-50.2]","37.0 [23.4-52.4]","37.4 [19.6-57.9]","36.3 [25.3-48.3]","36.4 [23.3-51.4]","36.2 [19.5-55.5]"
